Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT)
1970-01-01 00:03:47.200,1.5443818597142858,3.946519437297619,8.771614222309523,0.0010653466797859524,0.0001381678379535714,-0.0005635793481749999,50.25279105,6.625641685,476.93297055,0.0,135.68511248297872,10.945688725,4.991589546,-35.775001525,-10.52812538,-10.599375342
1970-01-01 00:03:47.300,1.5362533905180724,3.951288915542168,8.762584985024096,0.0008583140029597591,0.00039741870139277114,-0.0007939174724819276,50.252790872000006,6.625641666,476.9717643,0.0,135.67021886595745,10.929946900000001,4.9990343092,-35.43000145,-10.665000437,-10.186875437400001
1970-01-01 00:03:47.400,1.5410678688554218,3.9537682447228915,8.767950804819277,0.0016384321717957829,-9.567486632650605e-05,8.279541159036136e-06,50.252790694000005,6.625641647,477.01055805,0.0,135.65532524893618,10.914205075,5.0064790724,-35.20875206,-10.764375304000001,-9.9825004569
1970-01-01 00:03:47.500,1.5468337076385543,3.943274411807229,8.768177859746988,-0.00062096671204,-0.00047837434813614464,0.00033210217459518073,50.252790516000005,6.6256416279999995,477.0493518,0.0,135.6404316319149,10.89846325,5.0139238356,-35.038126373,-10.601250455999999,-10.468125342
1970-01-01 00:03:47.600,1.5550500269277108,3.964896314072289,8.767067828843373,-0.0011453386074751191,0.00027633563736785717,-0.0003163316350440476,50.252790338000004,6.625641609,477.08814555,0.0,135.6255380148936,10.882721425,5.0213685988000005,-35.006251908,-11.096250247,-10.674375437
1970-01-01 00:03:47.700,1.5402228987857143,3.9387712195357145,8.769167979547618,0.000931910061000241,-0.0013688866480481927,-0.00041121797233012046,50.25279016,6.62564159,477.1269393,0.0,135.61064439787233,10.8669796,5.028813362,-35.176876449000005,-11.469375323,-10.921875285
1970-01-01 00:03:47.800,1.5415579726385542,3.9460420177469877,8.765435460108433,0.0018077030855986745,0.0011407388767325302,-0.00031554310890240966,50.252790184000006,6.625641754,477.13646075,0.0,135.59575078085106,10.855223847000001,5.0225872992000005,-35.218126679,-10.687500285,-10.672500323
1970-01-01 00:03:47.900,1.5407507533614457,3.9559592510963855,8.774138232277108,0.0008435947385757831,0.00042685713193493975,-0.000793917460893976,50.252790208,6.6256419179999995,477.1459822,0.0,135.5808571638298,10.843468094,5.0163612364,-35.583751679,-10.522500418,-10.440000437
1970-01-01 00:03:48.000,1.5442030486987952,3.9496168257349398,8.76546069226506,-0.001981617643062857,-0.0008071910152726191,0.0005199473535952381,50.252790232,6.625642082,477.15550365,0.0,135.56596354680852,10.831712341,5.0101351736,-35.745001601,-10.327500437000001,-10.239375304300001
1970-01-01 00:03:48.100,1.5457491874166667,3.9555779581428574,8.774879466857143,0.0010643829475333734,-0.0023845122252024093,0.0003394617756168675,50.252790256000004,6.625642246,477.1650251,0.0,135.55106992978725,10.819956588,5.0039091108000004,-35.368127441,-10.567500304000001,-10.3575004564
