Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Mag Direction (°)
1970-01-01 00:01:23.700,-1.0583043965348127,-2.7485731713203694,0.8775768278588476,-0.0742814185853277,-0.05079231765762169,0.07124466170698796,50.24471649,6.62792492,483.2390217,27.53000069,235.5,223.95816343900697
1970-01-01 00:01:23.800,-0.7939587562232222,-3.7044913964878394,0.9781870784371609,-0.049736783856166665,0.02109604638315476,0.046017160106904764,50.244702878,6.627893941,483.44587886,27.376000598,235.53000031,226.53791402866136
1970-01-01 00:01:23.900,-0.5160706454964213,-4.0378037958774495,1.4088979380613722,-0.03661495765286988,0.011911521497415662,0.041092357430240964,50.244689266,6.627862962,483.65273602,27.222000506,235.56000062,225.9654468945031
1970-01-01 00:01:24.000,-0.4472012750372705,-4.07456808502055,0.9973801759311378,-0.00571933351543494,-0.0509910266248253,0.03473365840951807,50.244675654000005,6.627831983,483.85959318000005,27.068000414,235.59000093,229.62206002475972
1970-01-01 00:01:24.100,-0.09103466739992094,-3.695039029820948,0.41101611947330596,0.0006688041812746987,-0.10549626548337349,0.006774516896885542,50.244662042,6.627801004,484.06645034,26.914000322,235.62000124,221.34394406989688
1970-01-01 00:01:24.200,0.5566923258771872,-2.4784148405015745,0.13909556472631834,-0.024464248816759033,-0.05807832687981927,-0.03499124447242771,50.24464843,6.627770025,484.2733075,26.760000230000003,235.65000155,221.48613113820662
1970-01-01 00:01:24.300,0.9716169894511979,-2.4043889946679253,0.6930949500613721,0.013929498714785712,0.0005526712953380953,-0.04948589999583333,50.244634818,6.627739045999999,484.48016466,26.606000138000002,235.68000186,221.19719508222167
1970-01-01 00:01:24.400,0.9555333392145369,-2.4433945771453693,1.1361674343889678,-0.006757037985024097,0.02235480163948193,-0.02894900844127711,50.244621206000005,6.6277080669999995,484.68702182000004,26.452000046000002,235.71000217,222.44896673711963
1970-01-01 00:01:24.500,1.0061321660217657,-2.381393813683201,2.0524960599552333,0.01906045819783735,0.019065058076373494,-0.020168998962703615,50.244607594,6.6276770879999996,484.89387898,26.297999954,235.74000248,219.16568017106195
1970-01-01 00:01:24.600,0.5769484286844164,-2.604434429791514,1.468913928401017,0.020260074018596384,0.015480930171167471,-0.023929757475710845,50.244593982,6.627646109,485.10073614,26.143999862,235.77000279,222.33358041085523
